Div;League;Division;;;;;;;;;;
Date;Match;Date;(dd/mm/yy);;;;;;;;;
Time;Time;of;match;kick;off;;;;;;;
HomeTeam;Home;Team;;;;;;;;;;
AwayTeam;Away;Team;;;;;;;;;;
FTHG;HG;=;Full;Time;Home;Team;Goals;;;;;
FTAG;AG;=;Full;Time;Away;Team;Goals;;;;;
FTR;Res;=;Full;Time;Result;(H=Home;Win,;D=Draw,;A=Away;Win);;
HTHG;Half;Time;Home;Team;Goals;;;;;;;
HTAG;Half;Time;Away;Team;Goals;;;;;;;
HTR;Half;Time;Result;(H=Home;Win,;D=Draw,;A=Away;Win);;;;
Attendance;Crowd;Attendance;;;;;;;;;;
Referee;Match;Referee;;;;;;;;;;
HS;Home;Team;Shots;;;;;;;;;
AS;Away;Team;Shots;;;;;;;;;
HST;Home;Team;Shots;on;Target;;;;;;;
AST;Away;Team;Shots;on;Target;;;;;;;
HHW;Home;Team;Hit;Woodwork;;;;;;;;
AHW;Away;Team;Hit;Woodwork;;;;;;;;
HC;Home;Team;Corners;;;;;;;;;
AC;Away;Team;Corners;;;;;;;;;
HF;Home;Team;Fouls;Committed;;;;;;;;
AF;Away;Team;Fouls;Committed;;;;;;;;
HFKC;Home;Team;Free;Kicks;Conceded;;;;;;;
AFKC;Away;Team;Free;Kicks;Conceded;;;;;;;
HO;Home;Team;Offsides;;;;;;;;;
AO;Away;Team;Offsides;;;;;;;;;
HY;Home;Team;Yellow;Cards;;;;;;;;
AY;Away;Team;Yellow;Cards;;;;;;;;
HR;Home;Team;Red;Cards;;;;;;;;
AR;Away;Team;Red;Cards;;;;;;;;
HBP;Home;Team;Bookings;Points;(10;=;yellow,;25;=;red);;
ABP;Away;Team;Bookings;Points;(10;=;yellow,;25;=;red);;
B365H;Bet365;home;win;odds;;;;;;;;
B365D;Bet365;draw;odds;;;;;;;;;
B365A;Bet365;away;win;odds;;;;;;;;
BSH;Blue;Square;home;win;odds;;;;;;;
BSD;Blue;Square;draw;odds;;;;;;;;
BSA;Blue;Square;away;win;odds;;;;;;;
BWH;Bet&Win;home;win;odds;;;;;;;;
BWD;Bet&Win;draw;odds;;;;;;;;;
BWA;Bet&Win;away;win;odds;;;;;;;;
GBH;Gamebookers;home;win;odds;;;;;;;;
GBD;Gamebookers;draw;odds;;;;;;;;;
GBA;Gamebookers;away;win;odds;;;;;;;;
IWH;Interwetten;home;win;odds;;;;;;;;
IWD;Interwetten;draw;odds;;;;;;;;;
IWA;Interwetten;away;win;odds;;;;;;;;
LBH;Ladbrokes;home;win;odds;;;;;;;;
LBD;Ladbrokes;draw;odds;;;;;;;;;
LBA;Ladbrokes;away;win;odds;;;;;;;;
PSH;PH;=;Pinnacle;home;win;odds;;;;;;
PSD;PD;=;Pinnacle;draw;odds;;;;;;;
PSA;PA;=;Pinnacle;away;win;odds;;;;;;
SOH;Sporting;Odds;home;win;odds;;;;;;;
SOD;Sporting;Odds;draw;odds;;;;;;;;
SOA;Sporting;Odds;away;win;odds;;;;;;;
